,min,max,mean
2,-6867865.0,38.04,-6304222.09
3,-6867844.5,58.46,-6304201.66
4,-6867844.5,25.0,-6304201.71
5,-6867823.5,48.36,-6304178.2
6,-6867843.0,28.77,-6304197.8
7,-6867834.5,38.24,-6304188.29
8,-6867831.0,41.98,-6304184.54
9,-6867831.0,20.0,-6304184.57
10,-6867815.0,36.17,-6304168.4
11,-6867813.5,38.39,-6304166.18
12,-6867818.0,33.61,-6304170.96
13,-6867787.5,64.74,-6304139.83
14,-6867809.5,43.49,-6304161.04
15,-6867832.0,20.77,-6304183.75
18,-6867809.0,44.05,-6304160.48
19,-6867831.5,21.33,-6304183.22
24,-6867801.0,52.88,-6304151.65
25,-6867801.0,15.0,-6304151.7
26,-6867773.5,41.96,-6304124.75
27,-6867772.0,43.62,-6304123.09
28,-6867774.0,41.91,-6304124.8
29,-6867777.5,38.39,-6304128.32
30,-6867749.5,66.25,-6304100.45
31,-6867749.5,15.0,-6304100.52
32,-6867701.0,63.27,-6304052.26
33,-6867708.0,56.14,-6304059.39
34,-6867720.5,43.6,-6304071.93
35,-6867701.5,63.39,-6304052.13
36,-6867697.5,67.14,-6304048.39
37,-6867703.5,60.57,-6304054.95
38,-6867703.5,60.56,-6304054.96
39,-6867705.0,59.55,-6304055.98
40,-6867704.5,60.17,-6304055.35
41,-6867712.5,52.35,-6304063.17
42,-6867721.5,43.34,-6304072.18
43,-6867724.5,40.3,-6304075.22
45,-6867826.5,45.76,-6304180.75
47,-6867810.5,61.27,-6304165.17
48,-6867765.5,60.34,-6304119.89
49,-6867765.5,15.0,-6304119.96
50,-6867722.0,58.12,-6304076.84
51,-6867711.0,69.14,-6304065.82
52,-6867711.0,69.12,-6304065.84
54,-6867768.0,58.11,-6304122.13
55,-6867785.0,41.11,-6304139.12
56,-6867774.0,52.18,-6304128.05
58,-6867814.5,57.26,-6304169.19
59,-6867840.5,31.31,-6304195.13
60,-6867829.0,42.86,-6304183.58
61,-6867856.5,15.3,-6304211.13
62,-6867855.0,17.01,-6304209.43
63,-6867865.0,38.04,-6304222.09
64,-6867841.5,30.67,-6304195.77
65,-6867810.5,15.0,-6304165.23
66,-6867722.0,103.45,-6304076.78
67,-6867712.0,114.39,-6304065.83
68,-6867740.5,85.55,-6304094.66
69,-6867808.0,94.93,-6304165.19
70,-6867808.5,94.34,-6304165.77
71,-6867795.0,107.63,-6304152.49
72,-6867809.5,93.25,-6304166.86
73,-6867822.0,81.08,-6304179.05
74,-6867869.0,34.52,-6304225.61
75,-6867885.5,18.15,-6304241.97
76,-6867787.5,84.09,-6304142.45
77,-6867774.0,97.71,-6304128.81
78,-6867775.0,96.78,-6304129.74
79,-6867788.0,83.5,-6304143.02
80,-6867771.5,131.39,-6304128.73
81,-6867757.5,145.26,-6304114.87
82,-6867758.5,144.37,-6304115.74
83,-6867771.5,131.36,-6304128.76
1,-0.0,0.01,-0.0
